        BT    Band20    Band21    Band22    Band23    Band24    Band25    Band26    Band27    Band28    Band29    Band31    Band32    Band33    Band34    Band35    Band36
     186.5   0.00023   0.00047   0.00045   0.00062   0.00203   0.00251   0.09668   0.15482   0.31652   0.66955   0.77772   0.77772   0.87199   0.88707   0.89650   0.90590
     186.6   0.00023   0.00047   0.00045   0.00062   0.00205   0.00253   0.09726   0.15569   0.31805   0.67206   0.78040   0.78040   0.87470   0.88976   0.89918   0.90855
     186.7   0.00024   0.00048   0.00046   0.00063   0.00207   0.00255   0.09786   0.15657   0.31958   0.67459   0.78308   0.78308   0.87741   0.89246   0.90186   0.91121
     186.8   0.00024   0.00048   0.00046   0.00064   0.00209   0.00258   0.09845   0.15744   0.32113   0.67711   0.78577   0.78577   0.88013   0.89517   0.90455   0.91387
     186.9   0.00024   0.00049   0.00047   0.00064   0.00211   0.00260   0.09905   0.15833   0.32267   0.67965   0.78847   0.78847   0.88286   0.89787   0.90724   0.91653
     187.0   0.00024   0.00049   0.00047   0.00065   0.00213   0.00263   0.09965   0.15921   0.32423   0.68219   0.79117   0.79117   0.88559   0.90059   0.90993   0.91920
     187.1   0.00025   0.00050   0.00048   0.00065   0.00215   0.00265   0.10025   0.16010   0.32578   0.68474   0.79388   0.79388   0.88833   0.90331   0.91264   0.92188
     187.2   0.00025   0.00050   0.00048   0.00066   0.00217   0.00267   0.10086   0.16100   0.32735   0.68729   0.79659   0.79659   0.89107   0.90603   0.91534   0.92456
     187.3   0.00025   0.00051   0.00049   0.00067   0.00219   0.00270   0.10147   0.16190   0.32892   0.68985   0.79932   0.79932   0.89382   0.90876   0.91805   0.92724
     187.4   0.00025   0.00051   0.00049   0.00067   0.00221   0.00272   0.10208   0.16280   0.33049   0.69242   0.80204   0.80204   0.89658   0.91150   0.92077   0.92993
     187.5   0.00026   0.00052   0.00050   0.00068   0.00223   0.00275   0.10270   0.16370   0.33208   0.69500   0.80478   0.80478   0.89934   0.91424   0.92349   0.93263
     187.6   0.00026   0.00052   0.00050   0.00069   0.00225   0.00277   0.10331   0.16461   0.33366   0.69758   0.80752   0.80752   0.90210   0.91699   0.92622   0.93533
     187.7   0.00026   0.00053   0.00051   0.00070   0.00227   0.00280   0.10394   0.16553   0.33526   0.70017   0.81027   0.81027   0.90487   0.91974   0.92895   0.93803
     187.8   0.00027   0.00053   0.00051   0.00070   0.00229   0.00282   0.10456   0.16645   0.33686   0.70276   0.81302   0.81302   0.90765   0.92250   0.93169   0.94074
     187.9   0.00027   0.00054   0.00052   0.00071   0.00231   0.00285   0.10519   0.16737   0.33846   0.70536   0.81578   0.81578   0.91043   0.92526   0.93444   0.94346
     188.0   0.00027   0.00054   0.00052   0.00072   0.00233   0.00287   0.10582   0.16830   0.34007   0.70797   0.81855   0.81855   0.91322   0.92803   0.93718   0.94618
     188.1   0.00027   0.00055   0.00053   0.00072   0.00235   0.00290   0.10645   0.16923   0.34169   0.71059   0.82132   0.82132   0.91601   0.93080   0.93994   0.94890
     188.2   0.00028   0.00055   0.00054   0.00073   0.00238   0.00293   0.10709   0.17016   0.34331   0.71321   0.82410   0.82410   0.91881   0.93358   0.94270   0.95163
     188.3   0.00028   0.00056   0.00054   0.00074   0.00240   0.00295   0.10773   0.17110   0.34494   0.71584   0.82689   0.82689   0.92161   0.93636   0.94546   0.95436
     188.4   0.00028   0.00057   0.00055   0.00075   0.00242   0.00298   0.10838   0.17204   0.34658   0.71848   0.82968   0.82968   0.92443   0.93915   0.94823   0.95710
     188.5   0.00029   0.00057   0.00055   0.00075   0.00244   0.00301   0.10902   0.17299   0.34822   0.72112   0.83248   0.83248   0.92724   0.94195   0.95100   0.95985
     188.6   0.00029   0.00058   0.00056   0.00076   0.00246   0.00303   0.10967   0.17394   0.34987   0.72377   0.83529   0.83529   0.93006   0.94475   0.95378   0.96260
     188.7   0.00029   0.00058   0.00056   0.00077   0.00249   0.00306   0.11032   0.17490   0.35152   0.72643   0.83810   0.83810   0.93289   0.94755   0.95657   0.96535
     188.8   0.00029   0.00059   0.00057   0.00078   0.00251   0.00309   0.11098   0.17586   0.35318   0.72910   0.84092   0.84092   0.93572   0.95036   0.95936   0.96811
