        BT    Band20    Band21    Band22    Band23    Band24    Band25    Band27    Band28    Band29    Band31    Band32    Band33    Band34    Band35    Band36
     186.9   0.00025   0.00050   0.00047   0.00063   0.00226   0.00273   0.09776   0.15753   0.31866   0.67868   0.78756   0.88288   0.89779   0.90679   0.91598
     187.0   0.00025   0.00051   0.00047   0.00064   0.00228   0.00276   0.09835   0.15842   0.32020   0.68122   0.79027   0.88561   0.90050   0.90949   0.91865
     187.1   0.00025   0.00051   0.00048   0.00064   0.00230   0.00278   0.09895   0.15930   0.32175   0.68377   0.79297   0.88835   0.90322   0.91219   0.92133
     187.2   0.00026   0.00052   0.00048   0.00065   0.00232   0.00281   0.09955   0.16019   0.32330   0.68632   0.79569   0.89109   0.90595   0.91490   0.92401
     187.3   0.00026   0.00052   0.00049   0.00066   0.00234   0.00283   0.10015   0.16109   0.32485   0.68888   0.79841   0.89384   0.90868   0.91762   0.92670
     187.4   0.00026   0.00053   0.00049   0.00066   0.00236   0.00286   0.10075   0.16199   0.32641   0.69145   0.80114   0.89659   0.91142   0.92033   0.92939
     187.5   0.00026   0.00054   0.00050   0.00067   0.00238   0.00289   0.10136   0.16289   0.32798   0.69402   0.80387   0.89935   0.91416   0.92306   0.93208
     187.6   0.00027   0.00054   0.00050   0.00068   0.00240   0.00291   0.10197   0.16380   0.32955   0.69660   0.80661   0.90212   0.91690   0.92579   0.93479
     187.7   0.00027   0.00055   0.00051   0.00068   0.00243   0.00294   0.10259   0.16471   0.33113   0.69919   0.80936   0.90489   0.91966   0.92852   0.93749
     187.8   0.00027   0.00055   0.00051   0.00069   0.00245   0.00296   0.10321   0.16562   0.33272   0.70178   0.81211   0.90767   0.92241   0.93126   0.94020
     187.9   0.00028   0.00056   0.00052   0.00070   0.00247   0.00299   0.10383   0.16654   0.33431   0.70438   0.81487   0.91045   0.92518   0.93400   0.94292
     188.0   0.00028   0.00056   0.00052   0.00070   0.00249   0.00302   0.10445   0.16746   0.33590   0.70699   0.81764   0.91324   0.92794   0.93675   0.94564
     188.1   0.00028   0.00057   0.00053   0.00071   0.00252   0.00305   0.10508   0.16839   0.33751   0.70960   0.82041   0.91603   0.93072   0.93951   0.94837
     188.2   0.00029   0.00058   0.00054   0.00072   0.00254   0.00307   0.10571   0.16932   0.33912   0.71223   0.82319   0.91883   0.93350   0.94227   0.95110
     188.3   0.00029   0.00058   0.00054   0.00073   0.00256   0.00310   0.10634   0.17026   0.34073   0.71485   0.82598   0.92163   0.93628   0.94503   0.95384
     188.4   0.00029   0.00059   0.00055   0.00073   0.00259   0.00313   0.10698   0.17120   0.34235   0.71749   0.82877   0.92444   0.93907   0.94780   0.95658
     188.5   0.00029   0.00059   0.00055   0.00074   0.00261   0.00316   0.10762   0.17214   0.34398   0.72013   0.83157   0.92726   0.94186   0.95058   0.95933
     188.6   0.00030   0.00060   0.00056   0.00075   0.00263   0.00318   0.10826   0.17309   0.34561   0.72278   0.83437   0.93008   0.94466   0.95336   0.96208
     188.7   0.00030   0.00061   0.00056   0.00076   0.00266   0.00321   0.10890   0.17404   0.34725   0.72544   0.83718   0.93291   0.94747   0.95614   0.96483
     188.8   0.00030   0.00061   0.00057   0.00076   0.00268   0.00324   0.10955   0.17500   0.34889   0.72810   0.84000   0.93574   0.95028   0.95893   0.96760
     188.9   0.00031   0.00062   0.00058   0.00077   0.00271   0.00327   0.11021   0.17596   0.35054   0.73077   0.84283   0.93858   0.95310   0.96173   0.97036
     189.0   0.00031   0.00062   0.00058   0.00078   0.00273   0.00330   0.11086   0.17692   0.35220   0.73345   0.84566   0.94142   0.95592   0.96453   0.97313
     189.1   0.00031   0.00063   0.00059   0.00079   0.00275   0.00333   0.11152   0.17789   0.35386   0.73613   0.84849   0.94427   0.95875   0.96734   0.97591
     189.2   0.00032   0.00064   0.00059   0.00079   0.00278   0.00336   0.11218   0.17887   0.35553   0.73882   0.85134   0.94713   0.96158   0.97015   0.97869
     189.3   0.00032   0.00064   0.00060   0.00080   0.00280   0.00339   0.11285   0.17984   0.35720   0.74152   0.85419   0.94999   0.96442   0.97297   0.98148
     189.4   0.00032   0.00065   0.00060   0.00081   0.00283   0.00342   0.11351   0.18083   0.35889   0.74423   0.85705   0.95285   0.96726   0.97579   0.98427
     189.5   0.00033   0.00066   0.00061   0.00082   0.00285   0.00345   0.11419   0.18181   0.36057   0.74694   0.85991   0.95572   0.97011   0.97862   0.98707
     189.6   0.00033   0.00066   0.00062   0.00083   0.00288   0.00348   0.11486   0.18280   0.36227   0.74966   0.86278   0.95860   0.97296   0.98145   0.98987
     189.7   0.00033   0.00067   0.00062   0.00083   0.00291   0.00351   0.11554   0.18380   0.36396   0.75238   0.86566   0.96149   0.97582   0.98429   0.99268
     189.8   0.00034   0.00068   0.00063   0.00084   0.00293   0.00354   0.11622   0.18480   0.36567   0.75512   0.86854   0.96437   0.97869   0.98713   0.99549
     189.9   0.00034   0.00068   0.00064   0.00085   0.00296   0.00357   0.11690   0.18580   0.36738   0.75786   0.87143   0.96727   0.98156   0.98998   0.99830
